"geneSymbol","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"ALG10B",673,542,142,546,432,139
"ALG11",136,76,42,158,107,77
"ALG12",294,308,263,289,394,490
"ALG13",712,545,481,520,649,402
"ALG14",40,8,42,31,50,46
"ALG1L",1,1,1,4,4,3
"ALG1L2",9,4,3,5,10,0
"ALG1L9P",6,8,5,9,5,11
"ALG2",836,983,245,388,248,279
"ALG3",360,133,169,367,711,464
"ALG5",401,502,197,411,616,469
"ALG6",271,96,137,126,279,281
"ALG8",208,82,123,251,558,353
"ALG9",814,768,473,586,567,621
"ALK",1,1,1,0,2,1
"ALKBH1",153,93,37,133,82,124
"ALKBH2",162,86,129,67,325,96
"ALKBH3",217,231,135,317,319,238
"ALKBH3-AS1",2,2,2,8,5,3
"ALKBH4",252,109,58,176,134,156
"ALKBH5",1497,1876,2151,2061,1481,2275
"ALKBH6",301,306,379,165,287,198
"ALKBH7",801,937,449,481,734,503
"ALKBH8",251,115,61,179,203,273
"ALLC",0,0,0,0,0,1
"ALMS1",606,349,1108,959,548,791
"ALMS1-IT1",57,33,179,131,20,26
"ALMS1P",0,0,3,8,2,3
"ALOX12",118,121,50,344,1698,178
"ALOX12-AS1",51,25,26,23,22,44
"ALOX12B",10,5,6,18,44,2
"ALOX12P2",11,0,0,0,5,56
"ALOX15",5,2,0,3,0,6
"ALOX15B",0,0,6,7,1,1
"ALOX15P1",3,0,0,0,4,2
"ALOX5",332,1274,119,997,351,280
"ALOX5AP",236,313,66,582,117,117
"ALOXE3",8,1,2,9,2,1
"ALPI",0,0,0,0,0,0
"ALPK1",495,247,138,454,556,292
"ALPK2",0,13,1,11,1,3
"ALPK3",16,18,21,28,27,750
"ALPL",25,5,29,69,41,184
"ALPP",2,23,0,3,0,0
"ALPPL2",0,11,0,0,0,0
"ALS2",780,1141,619,242,709,899
"ALS2CL",13,173,29,65,1153,2264
"ALS2CR11",6,2,0,6,11,2
"ALS2CR12",36,22,50,159,39,20
